"Title","File","Revision","Categories"
"Abandoned station","abandoned-station.md","74022","Random_Events, Unique_Events, Filler_Events"
"Ancient device","ancient-device.md","74020","Random_Events, Unique_Events, Ship_Unlocking_Events"
"Asteroid belt distress","asteroid-belt-distress.md","73978","Random_Events, Unique_Events"
"Asteroid mining colony","asteroid-mining-colony.md","73934","Random_Events, Unique_Events, Trading_Events"
"Auto-ship attacking civilian","auto-ship-attacking-civilian.md","73984","Random_Events"
"Auto-ship attacking outpost","auto-ship-attacking-outpost.md","73936","Random_Events, Unique_Events, Filler_Events"
"Auto-ship carrying shield virus","auto-ship-carrying-shield-virus.md","74288","Random_Events, Unique_Events"
"Auto-ship fight","auto-ship-fight.md","73938","Random_Events"
"Auto-ship fight (Crystal)","auto-ship-fight-crystal.md","73939","Random_Events, Unique_Events"
"Auto-ship fight in asteroid field","auto-ship-fight-in-asteroid-field.md","73940","Random_Events"
"Auto-ship fight in nebula","auto-ship-fight-in-nebula.md","74838","Random_Events"
"Auto-ship fight in plasma storm","auto-ship-fight-in-plasma-storm.md","74839","Random_Events, Unique_Events"
"Auto-ship fight near sun","auto-ship-fight-near-sun.md","73943","Random_Events, Unique_Events"
"Auto-ship near radar station","auto-ship-near-radar-station.md","74662","Random_Events, Unique_Events"
"Auto-ship near sensor station","auto-ship-near-sensor-station.md","73946","Random_Events, Unique_Events"
"Auto-ship near storage station","auto-ship-near-storage-station.md","73987","Random_Events, Unique_Events, Filler_Events"
"Auto-ship near storage station in nebula","auto-ship-near-storage-station-in-nebula.md","74840","Random_Events, Unique_Events"
"Auto-ship warning","auto-ship-warning.md","74037","Random_Events, Unique_Events"
"Auto-ship warning in nebula","auto-ship-warning-in-nebula.md","74841","Random_Events, Unique_Events"
"Battlefield wreckage","battlefield-wreckage.md","74021","Random_Events, Filler_Events"
"Boarders: Crystal","boarders-crystal.md","73956","Random_Events"
"Boarders: Humans (Abandoned)","boarders-humans-abandoned.md","73957","Random_Events"
"Boarders: Humans (Pirate)","boarders-humans-pirate.md","73958","Random_Events, Unique_Events"
"Boarders: Humans in nebula","boarders-humans-in-nebula.md","73959","Random_Events, Unique_Events"
"Boarders: Humans in plasma storm","boarders-humans-in-plasma-storm.md","73960","Random_Events, Unique_Events"
"Boarders: Humans jammed sensors","boarders-humans-jammed-sensors.md","74289","Random_Events, Unique_Events"
"Boarders: Humans near sun","boarders-humans-near-sun.md","73962","Random_Events, Unique_Events"
"Boarders: Mantis","boarders-mantis.md","73963","Random_Events, Unique_Events"
"Boarders: rebels in nebula","boarders-rebels-in-nebula.md","74849","Random_Events, Unique_Events"
"Boarders: Rockmen near sun","boarders-rockmen-near-sun.md","73965","Random_Events, Unique_Events"
"Capture the ship","capture-the-ship.md","74023","Random_Events, Unique_Events"
"Confused Mantis","confused-mantis.md","73988","Random_Events, Unique_Events"
"Crew hiring station","crew-hiring-station.md","73989","Random_Events, Unique_Events"
"Crushed pirate","crushed-pirate.md","74024","Random_Events, Unique_Events"
"Crystal chat","crystal-chat.md","74025","Random_Events, Unique_Events"
"Crystal fight","crystal-fight.md","74033","Random_Events"
"Crystal fight choice","crystal-fight-choice.md","74026","Random_Events, Unique_Events"
"Crystal fight with surrender offer (hull repairs)","crystal-fight-with-surrender-offer-hull-repairs.md","74027","Random_Events, Unique_Events"
"Crystal fight with surrender offer (Human crew)","crystal-fight-with-surrender-offer-human-crew.md","74034","Random_Events, Unique_Events"
"Crystal scrap collector","crystal-scrap-collector.md","73999","Random_Events, Unique_Events"
"Crystal ship attacking Federation loyalists","crystal-ship-attacking-federation-loyalists.md","74028","Random_Events"
"Crystalline cache","crystalline-cache.md","74727","Random_Events, Unique_Events"
"Crystalline men buried","crystalline-men-buried.md","74724","Random_Events, Unique_Events"
"Crystalline research facility","crystalline-research-facility.md","74030","Random_Events, Unique_Events"
"Crystalline ship messaging about Rebels","crystalline-ship-messaging-about-rebels.md","74031","Random_Events, Unique_Events"
"Deactivated Auto-ship","deactivated-auto-ship.md","73651","Random_Events, Unique_Events, Filler_Events"
"Dense asteroid field distress","dense-asteroid-field-distress.md","74718","Random_Events, Unique_Events, Ship_Unlocking_Events"
"Destroyed cargo ship","destroyed-cargo-ship.md","74041","Random_Events, Unique_Events"
"Disabled Rock ship","disabled-rock-ship.md","74042","Random_Events, Unique_Events"
"Empty beacon (Civilian)","empty-beacon-civilian.md","73656","Random_Events"
"Empty beacon (Crystal)","empty-beacon-crystal.md","73657","Random_Events"
"Empty beacon (Engi)","empty-beacon-engi.md","73658","Random_Events"
"Empty beacon (Lanius)","empty-beacon-lanius.md","73659","Random_Events"
"Empty beacon (Last Stand)","empty-beacon-last-stand.md","73660","Random_Events"
"Empty beacon (Mantis)","empty-beacon-mantis.md","73661","Random_Events"
"Empty beacon (Pirate)","empty-beacon-pirate.md","73662","Random_Events"
"Empty beacon (Rebel)","empty-beacon-rebel.md","73663","Random_Events"
"Empty beacon (Rock)","empty-beacon-rock.md","73664","Random_Events"
"Empty beacon (Slug)","empty-beacon-slug.md","73665","Random_Events"
"Empty beacon (Zoltan)","empty-beacon-zoltan.md","73666","Random_Events"
"Empty nebula beacon","empty-nebula-beacon.md","73667","Random_Events"
"Empty nebula beacon (Slug)","empty-nebula-beacon-slug.md","73668","Random_Events"
"Encrypted federation signal","encrypted-federation-signal.md","74043","Random_Events, Unique_Events"
"Engi cache","engi-cache.md","74052","Random_Events, Unique_Events"
"Engi distress Rebel fight","engi-distress-rebel-fight.md","74045","Random_Events, Unique_Events, Trading_Events"
"Engi fight","engi-fight.md","74046","Random_Events, Unique_Events"
"Engi fleet discussion","engi-fleet-discussion.md","74722","Random_Events, Unique_Events, Ship_Unlocking_Events"
"Engi research station","engi-research-station.md","74048","Random_Events, Unique_Events"
"Engi ship attacked by Mantis ship","engi-ship-attacked-by-mantis-ship.md","74854","Random_Events"
"Engi smashed ships","engi-smashed-ships.md","74050","Random_Events, Unique_Events"
"Engi surrender","engi-surrender.md","74051","Random_Events, Unique_Events"
"Escape pod","escape-pod.md","74053","Random_Events, Unique_Events"
"Escort civilians","escort-civilians.md","74735","Random_Events"
"Escort civilians FTL haywire","escort-civilians-ftl-haywire.md","74056","Random_Events, Unique_Events"
"Federation deserters","federation-deserters.md","74062","Random_Events, Unique_Events"
"Fight in Last Stand","fight-in-last-stand.md","74064","Random_Events"
"Fire on research station","fire-on-research-station.md","74065","Random_Events, Unique_Events"
"Free drone schematic","free-drone-schematic.md","74066","Random_Events"
"Free scrap with resources","free-scrap-with-resources.md","74067","Random_Events"
"Free scrap with resources (Engi)","free-scrap-with-resources-engi.md","74068","Random_Events"
"Free scrap with resources (Lanius)","free-scrap-with-resources-lanius.md","74069","Random_Events, Unique_Events"
"Free scrap with resources (Zoltan)","free-scrap-with-resources-zoltan.md","74070","Random_Events, Unique_Events"
"Free weapon","free-weapon.md","74071","Random_Events"
"Friendly ship out of fuel","friendly-ship-out-of-fuel.md","74075","Random_Events, Trading_Events"
"Giant alien spiders","giant-alien-spiders.md","74073","Random_Events, Unique_Events"
"Improve reactor for supplies","improve-reactor-for-supplies.md","74242","Random_Events, Unique_Events, Trading_Events"
"Intelligent ponies","intelligent-ponies.md","74078","Random_Events, Unique_Events, Filler_Events"
"Lanius craftsmen","lanius-craftsmen.md","74219","Random_Events, Unique_Events, Trading_Events"
"Lanius empty distress beacon 1","lanius-empty-distress-beacon-1.md","74220","Random_Events, Unique_Events"
"Lanius empty distress beacon 2","lanius-empty-distress-beacon-2.md","74221","Random_Events, Unique_Events"
"Lanius fight","lanius-fight.md","74222","Random_Events"
"Lanius fight distress","lanius-fight-distress.md","74223","Random_Events, Unique_Events"
"Lanius fight in asteroid field","lanius-fight-in-asteroid-field.md","74224","Random_Events, Unique_Events"
"Lanius fight near pulsar","lanius-fight-near-pulsar.md","74225","Random_Events, Unique_Events"
"Lanius fight with friendly ASB support","lanius-fight-with-friendly-asb-support.md","74226","Random_Events, Unique_Events"
"Lanius lone ship","lanius-lone-ship.md","74229","Random_Events, Unique_Events"
"Lanius powered-down ship","lanius-powered-down-ship.md","74230","Random_Events, Unique_Events"
"Lanius ship absorbing automated scout","lanius-ship-absorbing-automated-scout.md","74231","Random_Events, Unique_Events"
"Lanius ship absorbing jump beacon","lanius-ship-absorbing-jump-beacon.md","74232","Random_Events, Unique_Events, Trading_Events"
"Lanius ship absorbing rebel base","lanius-ship-absorbing-rebel-base.md","74233","Random_Events, Unique_Events"
"Lanius ship attacking civilian","lanius-ship-attacking-civilian.md","74234","Random_Events, Unique_Events"
"Lanius ship attacking civilian distress","lanius-ship-attacking-civilian-distress.md","74239","Random_Events, Unique_Events"
"Lanius ship attacking Mantis","lanius-ship-attacking-mantis.md","74236","Random_Events, Unique_Events"
"Lanius ship attacking Rock","lanius-ship-attacking-rock.md","74237","Random_Events, Unique_Events"
"Lanius ship attacking Slug","lanius-ship-attacking-slug.md","74238","Random_Events, Unique_Events"
"Lanius ship in rich debris field","lanius-ship-in-rich-debris-field.md","74240","Random_Events, Unique_Events"
"Lanius ship salvager","lanius-ship-salvager.md","74241","Random_Events"
"Lanius trader","lanius-trader.md","74245","Random_Events, Unique_Events, Trading_Events"
"Lanius trader with translator","lanius-trader-with-translator.md","74244","Random_Events, Unique_Events, Trading_Events"
"Lanius with Federation science craft","lanius-with-federation-science-craft.md","74246","Random_Events, Unique_Events"
"Large asteroid field","large-asteroid-field.md","74247","Random_Events, Unique_Events, Filler_Events"
"Large trade station","large-trade-station.md","74568","Random_Events, Unique_Events"
"Legendary thief KazaaakplethKilik","legendary-thief-kazaaakplethkilik.md","74666","Random_Events, Unique_Events, Ship_Unlocking_Events"
"Malfunctioning defense system","malfunctioning-defense-system.md","74578","Random_Events, Unique_Events"
"Mantis fight","mantis-fight.md","74251","Random_Events"
"Mantis fight (Engi)","mantis-fight-engi.md","74252","Random_Events"
"Mantis fight (Slug)","mantis-fight-slug.md","74253","Random_Events, Unique_Events"
"Mantis fight (Zoltan)","mantis-fight-zoltan.md","74254","Random_Events, Unique_Events"
"Mantis fight choice","mantis-fight-choice.md","74255","Random_Events"
"Mantis fight choice in nebula","mantis-fight-choice-in-nebula.md","74256","Random_Events, Unique_Events"
"Mantis fight in nebula","mantis-fight-in-nebula.md","74257","Random_Events"
"Mantis fight in nebula (Slug)","mantis-fight-in-nebula-slug.md","74258","Random_Events, Unique_Events"
"Mantis fight near sun","mantis-fight-near-sun.md","74259","Random_Events"
"Mantis fugitive","mantis-fugitive.md","74260","Random_Events, Unique_Events"
"Mantis outcasts","mantis-outcasts.md","74261","Random_Events, Unique_Events"
"Mantis ship attacking civilian","mantis-ship-attacking-civilian.md","74262","Random_Events"
"Mantis ship attacking Crystal","mantis-ship-attacking-crystal.md","74263","Random_Events"
"Mantis ship attacking Slug ship","mantis-ship-attacking-slug-ship.md","74264","Random_Events, Unique_Events"
"Mantis ship with Rock body parts","mantis-ship-with-rock-body-parts.md","74265","Random_Events, Unique_Events"
"Mantis ship-collectors","mantis-ship-collectors.md","74723","Random_Events, Unique_Events"
"Mantis ships battle for Rock freighter","mantis-ships-battle-for-rock-freighter.md","74269","Random_Events, Unique_Events"
"Mantis war camp","mantis-war-camp.md","74270","Random_Events, Unique_Events"
"Merchant's request","merchant-s-request.md","74272","Random_Events, Unique_Events, Trading_Events"
"Nebula lost ship","nebula-lost-ship.md","74843","Random_Events, Unique_Events"
"Nebula wreckage","nebula-wreckage.md","73757","Random_Events, Unique_Events"
"No fuel: automated refueling ship","no-fuel-automated-refueling-ship.md","73275","Random_Events, Trading_Events"
"No fuel: Auto-ship warning","no-fuel-auto-ship-warning.md","74039","Random_Events"
"No fuel: drifting debris","no-fuel-drifting-debris.md","73103","Random_Events"
"No fuel: Engi ship repair","no-fuel-engi-ship-repair.md","73274","Random_Events"
"No fuel: explore the system","no-fuel-explore-the-system.md","73276","Random_Events, Trading_Events"
"No fuel: friendly refugee","no-fuel-friendly-refugee.md","66310","Random_Events"
"No fuel: fuel trader (distress off)","no-fuel-fuel-trader-distress-off.md","73259","Random_Events, Trading_Events"
"No fuel: fuel trader (distress on)","no-fuel-fuel-trader-distress-on.md","73282","Random_Events, Trading_Events"
"No fuel: Mantis fight","no-fuel-mantis-fight.md","73277","Random_Events"
"No fuel: prepare to dock","no-fuel-prepare-to-dock.md","73278","Random_Events"
"No fuel: Rebel fight","no-fuel-rebel-fight.md","73279","Random_Events"
"No fuel: Rebel fleet delay","no-fuel-rebel-fleet-delay.md","65573","Random_Events"
"No fuel: refugee trading","no-fuel-refugee-trading.md","73281","Random_Events, Trading_Events"
"No fuel: Slug fuel depot","no-fuel-slug-fuel-depot.md","73296","Random_Events, Trading_Events"
"No fuel: Slug fuel trader","no-fuel-slug-fuel-trader.md","63806","Random_Events, Trading_Events"
"No fuel: wait fail (distress off)","no-fuel-wait-fail-distress-off.md","67360","Random_Events"
"No fuel: wait fail (distress on)","no-fuel-wait-fail-distress-on.md","67041","Random_Events"
"Oxygen","oxygen.md","74853","Systems"
"Pirate briber","pirate-briber.md","73759","Random_Events, Unique_Events, Filler_Events"
"Pirate engine hacker","pirate-engine-hacker.md","74290","Random_Events, Unique_Events"
"Pirate fight","pirate-fight.md","73761","Random_Events"
"Pirate fight (Engi)","pirate-fight-engi.md","73762","Random_Events"
"Pirate fight (Lanius)","pirate-fight-lanius.md","73763","Random_Events"
"Pirate fight (Slug)","pirate-fight-slug.md","73764","Random_Events"
"Pirate fight (Zoltan)","pirate-fight-zoltan.md","73765","Random_Events"
"Pirate fight choice in nebula","pirate-fight-choice-in-nebula.md","73766","Random_Events, Unique_Events"
"Pirate fight in asteroid field","pirate-fight-in-asteroid-field.md","73767","Random_Events"
"Pirate fight in nebula","pirate-fight-in-nebula.md","74833","Random_Events"
"Pirate fight near pulsar","pirate-fight-near-pulsar.md","73769","Random_Events, Unique_Events"
"Pirate fight near sun","pirate-fight-near-sun.md","73770","Random_Events, Unique_Events"
"Pirate ship attacking civilian","pirate-ship-attacking-civilian.md","73771","Random_Events, Filler_Events"
"Pirate ship attacking civilian (Lanius)","pirate-ship-attacking-civilian-lanius.md","73772","Random_Events"
"Pirate ship attacking civilian distress","pirate-ship-attacking-civilian-distress.md","74784","Random_Events"
"Pirate ship attacking Crystal","pirate-ship-attacking-crystal.md","73774","Random_Events"
"Pirate ship distress trap","pirate-ship-distress-trap.md","73775","Random_Events, Unique_Events"
"Pirate ship selling drones","pirate-ship-selling-drones.md","73776","Random_Events, Unique_Events, Trading_Events, Filler_Events"
"Pirate ship selling weapon","pirate-ship-selling-weapon.md","74701","Random_Events, Unique_Events, Trading_Events"
"Pirate ships in plasma storm","pirate-ships-in-plasma-storm.md","73778","Random_Events, Unique_Events"
"Pirate smuggler","pirate-smuggler.md","73780","Random_Events"
"Pirate toll","pirate-toll.md","73782","Random_Events"
"Plagued station","plagued-station.md","73783","Random_Events, Unique_Events, Filler_Events"
"Plasma storm incapacitated ships","plasma-storm-incapacitated-ships.md","74844","Random_Events, Unique_Events"
"Random Events","random-events.md","74697","Random_Events"
"Rebel checkpoint","rebel-checkpoint.md","73784","Random_Events, Filler_Events"
"Rebel defector","rebel-defector.md","74871","Random_Events, Unique_Events"
"Rebel fight","rebel-fight.md","73786","Random_Events"
"Rebel fight (Crystal)","rebel-fight-crystal.md","73787","Random_Events"
"Rebel fight (Engi)","rebel-fight-engi.md","73788","Random_Events"
"Rebel fight (Lanius)","rebel-fight-lanius.md","73789","Random_Events"
"Rebel fight (Slug)","rebel-fight-slug.md","73790","Random_Events"
"Rebel fight among Federation and Rebel fleets","rebel-fight-among-federation-and-rebel-fleets.md","73791","Random_Events"
"Rebel fight among Rebel fleet","rebel-fight-among-rebel-fleet.md","73792","Random_Events"
"Rebel fight chance","rebel-fight-chance.md","74743","Random_Events, Filler_Events"
"Rebel fight chance in nebula","rebel-fight-chance-in-nebula.md","73793","Random_Events, Unique_Events"
"Rebel fight choice in nebula","rebel-fight-choice-in-nebula.md","74848","Random_Events, Unique_Events"
"Rebel fight in nebula","rebel-fight-in-nebula.md","74835","Random_Events"
"Rebel fight in plasma storm","rebel-fight-in-plasma-storm.md","74846","Random_Events, Unique_Events"
"Rebel fight near pulsar","rebel-fight-near-pulsar.md","73809","Random_Events, Unique_Events"
"Rebel fight with boarders","rebel-fight-with-boarders.md","73811","Random_Events"
"Rebel ship attacking civilians in Last Stand","rebel-ship-attacking-civilians-in-last-stand.md","73812","Random_Events"
"Rebel ship attacking Crystal ship","rebel-ship-attacking-crystal-ship.md","73813","Random_Events"
"Rebel ship attacking Federation loyalists","rebel-ship-attacking-federation-loyalists.md","74715","Random_Events, Unique_Events"
"Rebel ship attacking refueling outpost","rebel-ship-attacking-refueling-outpost.md","73815","Random_Events, Unique_Events"
"Rebel ship supplying civilians","rebel-ship-supplying-civilians.md","73816","Random_Events, Filler_Events"
"Rebel ship warning","rebel-ship-warning.md","73817","Random_Events, Unique_Events"
"Rebel shipyard","rebel-shipyard.md","74685","Random_Events, Unique_Events, Ship_Unlocking_Events"
"Rebel transport ship","rebel-transport-ship.md","73819","Random_Events, Unique_Events, Filler_Events"
"Refueling platform","refueling-platform.md","74855","Random_Events, Unique_Events, Filler_Events"
"Refueling platform garbled broadcast","refueling-platform-garbled-broadcast.md","73824","Random_Events, Unique_Events"
"Refueling station","refueling-station.md","74707","Random_Events, Unique_Events, Trading_Events"
